Station,Year,Julian_day,Hr/Min,Bvolt,Ptemp,Solar,Rain,Ambient,Humidity,WD,WS,BaromP,Atmometer,SoilT ,SoilT,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM
133,2013,1,100,10.99,4.681,0,0,3.644,71.6,194.1,1.367,989,0.206,7.63,9.17,3.603,2.939,2.177,20.49,1.352,9.36,1.295,1.462,-18,-16,-13,-101,-10,-43,-9,-10
133,2013,1,200,10.98,4.645,0,0,3.621,73.6,181.1,1.21,988,0.201,7.61,9.27,3.609,2.944,2.179,20.63,1.352,9.36,1.295,1.463,-18,-16,-13,-102,-10,-43,-9,-10
133,2013,1,300,10.97,4.583,0,0,3.772,74.1,241.2,0.962,988,0.201,7.58,9.27,3.616,2.95,2.168,20.65,1.353,9.36,1.295,1.464,-18,-16,-13,-102,-10,-43,-9,-10
133,2013,1,400,10.96,4.433,0,0.626,3.38,81.2,135.9,1.101,988,0.201,7.68,9.36,3.623,2.954,2.163,20.7,1.352,9.37,1.295,1.465,-18,-16,-13,-103,-10,-43,-9,-10
133,2013,1,500,10.95,4.045,0,2.192,2.934,87.8,76,1.4,988,0.241,7.65,9.36,3.634,2.959,2.16,19.3,1.352,9.38,1.295,1.467,-19,-16,-13,-95,-10,-43,-9,-10
133,2013,1,600,10.94,3.581,0,2.505,2.644,91.1,144.5,1.075,988,0.262,7.57,9.28,3.641,2.956,2.158,14.91,1.352,9.38,1.295,1.469,-19,-16,-13,-70,-10,-43,-9,-10
133,2013,1,700,10.92,3.565,0,2.505,2.673,92.7,87.6,0.646,989,0.2,7.35,9.16,3.645,2.933,2.154,15.16,1.354,9.4,1.295,1.471,-19,-16,-13,-71,-10,-43,-9,-10
133,2013,1,800,10.91,3.678,0.002,1.879,2.716,93.3,59.59,0.862,989,0.2,7.29,9.17,3.641,2.921,2.159,15.24,1.354,9.4,1.295,1.473,-18,-16,-13,-72,-10,-43,-9,-10
133,2013,1,900,10.9,3.745,0.025,1.252,2.816,93.8,63.16,0.9,988,0.2,7.23,9.16,3.63,2.908,2.149,15.3,1.355,9.39,1.295,1.474,-18,-16,-13,-72,-10,-43,-9,-10
133,2013,1,1000,10.9,4.004,0.077,1.565,3.438,94,212.5,1.169,988,0.201,7.07,9.04,3.612,2.901,2.14,15.34,1.355,9.37,1.295,1.474,-18,-16,-13,-72,-10,-43,-9,-10
133,2013,1,1100,10.9,4.596,0.143,1.252,3.963,94,85.7,1.689,987,0.283,7.06,9.02,3.587,2.897,2.136,15.36,1.355,9.33,1.295,1.473,-18,-16,-13,-72,-10,-43,-9,-10
133,2013,1,1200,10.89,5.304,0.191,0.939,4.983,93.8,195.2,1.001,987,0.208,6.992,8.9,3.549,2.896,2.132,15.31,1.355,9.29,1.295,1.474,-18,-15,-13,-72,-10,-42,-9,-10
133,2013,1,1300,10.88,6.366,0.165,0.939,5.901,93.4,143.7,0.888,986,0.2,6.986,8.89,3.507,2.892,2.128,15.2,1.355,9.27,1.295,1.473,-18,-15,-13,-71,-10,-42,-9,-10
133,2013,1,1400,10.89,7.24,0.284,0.939,6.313,93.1,104,1.369,985,0.206,7.18,9.07,3.463,2.886,2.124,15.07,1.355,9.28,1.295,1.473,-18,-15,-13,-71,-10,-42,-9,-10
133,2013,1,1500,10.87,7.79,0.164,0.626,6.559,92.8,177,1.474,985,0.2,7.44,9.19,3.42,2.878,2.119,14.95,1.356,9.36,1.296,1.474,-18,-15,-13,-70,-10,-43,-9,-10
133,2013,1,1600,10.84,7.94,0.094,0.939,6.776,92.9,136.4,0.616,985,0.2,7.6,9.25,3.373,2.866,2.115,14.89,1.357,9.32,1.296,1.474,-17,-15,-13,-70,-10,-43,-9,-10
133,2013,1,1700,10.82,8.05,0.053,0.939,6.895,93.2,56.49,0.845,985,0.2,7.76,9.29,3.325,2.858,2.116,14.91,1.357,9.26,1.296,1.474,-17,-15,-13,-70,-10,-42,-9,-10
133,2013,1,1800,10.8,7.95,0.006,1.252,6.829,93.4,183.4,0.791,985,0.2,7.9,9.34,3.298,2.848,2.12,14.94,1.357,9.21,1.297,1.474,-17,-15,-13,-70,-10,-42,-9,-10
133,2013,1,1900,10.78,7.84,0,1.252,6.805,93.6,190.6,0.292,985,0.2,7.98,9.35,3.273,2.84,2.136,15,1.358,9.15,1.297,1.474,-17,-15,-13,-71,-10,-42,-9,-10
133,2013,1,2000,10.76,7.74,0,0.939,6.739,93.8,191.9,0.047,986,0.2,8.01,9.37,3.262,2.835,2.139,15.05,1.359,9.11,1.299,1.474,-17,-15,-13,-71,-10,-42,-9,-10
133,2013,1,2100,10.74,7.54,0,0.939,6.533,94,148.9,0.364,985,0.2,8.05,9.35,3.256,2.832,2.154,15.12,1.359,9.07,1.308,1.474,-17,-15,-13,-71,-10,-42,-9,-10
133,2013,1,2200,10.7,7.42,0,0.939,6.619,94.2,189.7,0.509,986,0.2,7.98,9.28,3.245,2.828,2.174,15.15,1.36,9.03,1.297,1.474,-17,-15,-13,-71,-10,-41,-9,-10
133,2013,1,2300,10.65,7.52,0,0.939,6.57,94.2,153.5,0.278,985,0.2,8.02,9.29,3.232,2.825,2.145,15.18,1.36,8.99,1.297,1.474,-17,-15,-13,-71,-10,-41,-9,-10
133,2013,1,2400,10.54,7.41,0,0.626,5.776,94.1,231.2,1.557,986,0.248,8.15,9.43,3.226,2.824,2.157,15.18,1.361,8.96,1.298,1.474,-17,-15,-13,-72,-10,-41,-9,-10
133,2013,4,100,10.26,-3.374,0,0,-1.459,89.9,232.6,0.095,997,0.2,7.61,9.15,3.387,2.843,2.308,19.98,1.383,8.39,1.3,1.484,-17,-15,-13,-98,-10,-38,-9,-10
133,2013,4,200,10.21,-3.608,0,0.313,-1.632,90.5,222.4,0.399,997,0.2,7.41,9.19,3.42,2.864,2.301,20.25,1.384,8.46,1.3,1.485,-18,-15,-13,-100,-10,-39,-9,-10
133,2013,4,300,10.17,-3.832,0,0,-2.058,91,318.6,0.072,997,0.2,7.28,9.2,3.449,2.885,2.296,20.48,1.384,8.53,1.3,1.485,-18,-16,-13,-101,-10,-39,-9,-10
133,2013,4,400,10.14,-4.21,0,0,-2.38,91.6,298.4,0.101,997,0.2,7.1,9.17,3.48,2.906,2.292,20.67,1.385,8.63,1.3,1.484,-18,-16,-13,-102,-10,-40,-9,-10
133,2013,4,500,10.1,-4.538,0,0,-2.833,91.2,182.8,0.152,997,0.2,6.896,9.19,3.508,2.927,2.288,20.88,1.385,8.73,1.3,1.484,-18,-16,-13,-104,-10,-40,-9,-10
